0, run: 808, walk: 819, stand: null
1, run: 808, walk: 819, stand: null
2, run: 808, walk: 819, stand: null
3, run: 808, walk: 819, stand: null
4, run: 808, walk: 819, stand: null
5, run: 808, walk: 819, stand: null
6, run: 808, walk: 819, stand: null
7, run: 808, walk: 819, stand: null
8, run: 808, walk: 819, stand: null
9, run: 808, walk: 819, stand: null
10, run: 7167, walk: 7165, stand: null
11, run: 808, walk: 819, stand: null
12, run: 808, walk: 819, stand: null
13, run: 808, walk: 819, stand: null
14, run: 55, walk: 32767, stand: null
15, run: 808, walk: 819, stand: null
16, run: 808, walk: 819, stand: null
17, run: 7167, walk: 7165, stand: null
18, run: 808, walk: 819, stand: null
19, run: 7047, walk: 1059, stand: null
20, run: 808, walk: 1065, stand: null
21, run: 808, walk: 1065, stand: null
22, run: 32767, walk: 15017, stand: [15016]
23, run: 808, walk: 1065, stand: null
24, run: 808, walk: 819, stand: null
25, run: 808, walk: 819, stand: null
26, run: 808, walk: 819, stand: null
27, run: 808, walk: 819, stand: null
28, run: 808, walk: 819, stand: null
29, run: 11796, walk: 11796, stand: null
30, run: 11796, walk: 11796, stand: null
31, run: 808, walk: 819, stand: null
32, run: 808, walk: 819, stand: null
33, run: 808, walk: 819, stand: null
34, run: 808, walk: 819, stand: null
35, run: 808, walk: 819, stand: null
36, run: 808, walk: 819, stand: null
37, run: 813, walk: 819, stand: null
38, run: 808, walk: 819, stand: null
39, run: 808, walk: 819, stand: null
40, run: 32767, walk: 10, stand: null
41, run: 5386, walk: 5385, stand: null
42, run: 5339, walk: 5340, stand: null
43, run: 5335, walk: 5334, stand: null
44, run: 808, walk: 808, stand: null
45, run: 808, walk: 808, stand: null
46, run: 6818, walk: 6817, stand: null
47, run: 2704, walk: 2703, stand: null
48, run: 5386, walk: 5385, stand: null
49, run: 6561, walk: 6583, stand: null
50, run: 90, walk: 4635, stand: null
51, run: 13156, walk: 13157, stand: null
52, run: 14267, walk: 14268, stand: null
53, run: 12248, walk: 12246, stand: null
54, run: 12248, walk: 12246, stand: null
55, run: 12248, walk: 12246, stand: null
56, run: 101, walk: 98, stand: null
57, run: 793, walk: 13847, stand: null
58, run: 5326, walk: 5325, stand: null
59, run: 5326, walk: 5325, stand: null
60, run: 5326, walk: 5325, stand: null
61, run: 6247, walk: 6248, stand: null
62, run: 5326, walk: 5325, stand: null
63, run: 5326, walk: 5325, stand: null
64, run: 5326, walk: 5325, stand: null
65, run: 101, walk: 98, stand: null
66, run: 195, walk: 189, stand: null
67, run: 195, walk: 189, stand: null
68, run: 195, walk: 189, stand: null
69, run: 101, walk: 98, stand: null
70, run: 10898, walk: 10899, stand: null
71, run: 101, walk: 98, stand: null
72, run: 10814, walk: 10812, stand: null
73, run: 5565, walk: 5566, stand: null
74, run: 5576, walk: 5577, stand: null
75, run: 5572, walk: 5570, stand: null
76, run: 5572, walk: 5570, stand: null
